record_id,redcap_event_name,stw_age,stw_n_correct_trials,phase_cog_online_paper
721651,phase_4_arm_1,93,52,2
721722,phase_4_arm_1,90,60,2
721755,phase_4_arm_1,89,55,2
721894,phase_4_arm_1,86,56,2
721928,phase_4_arm_2,85,56,1
722030,phase_4_arm_1,92,49,2
722232,phase_4_arm_1,87,44,
722259,phase_4_arm_1,89,52,2
722319,phase_4_arm_1,87,57,2
722358,phase_4_arm_1,87,55,1
722384,phase_4_arm_1,87,40,2
722394,phase_4_arm_1,88,53,2
722536,phase_4_arm_1,85,58,2
722628,phase_4_arm_1,86,56,2
722651,phase_4_arm_1,84,55,1
722722,phase_4_arm_1,85,58,2
722892,phase_4_arm_1,86,59,2
722979,phase_4_arm_1,88,57,2
722983,phase_4_arm_1,89,55,2
723033,phase_4_arm_1,93,60,2
723079,phase_4_arm_1,85,59,2
723197,phase_4_arm_1,85,59,2
723357,phase_4_arm_1,88,60,2
820047,phase_4_arm_1,95,53,2
820147,phase_4_arm_1,95,55,2
820207,phase_4_arm_1,95,41,2
820305,phase_4_arm_1,95,58,2
820375,phase_4_arm_1,95,46,2
820384,phase_4_arm_1,94,56,2
821083,phase_4_arm_1,95,50,2
